a,1=工
avkf,1=苕
avu,1=茛
avy,1=芄
aw,1=共
awb,1=苍
awc,1=蓊
awcu,1=芟
awd,1=茯
awf,1=蔡
awfc,1=荟
awff,1=茌
awfu,1=苻
awg,1=葵
awgf,1=荃
awgg,1=莶
awgs,1=荼
awgt,1=蔹
awh,1=莜
awi,1=戍
awj,1=芥
awk,1=葆
awn,1=巷
awnu,1=恭
aws,1=茶
awsk,1=荷
awt,1=荏
awuf,1=莅
awuk,1=蓓
awv,1=芬
aww,1=巫
awwq,1=觋
awwu,1=苁
awx,1=花
awy,1=恐
awyc,1=苓
awyf,1=萑
awyh,1=跫
awyj,1=蛩
awyj,2=劐
awyn,1=芩
awyo,1=蕉
awyq,1=銎
awyy,1=巩
ax,1=药
axa,1=荭
axb,1=芎
axf,1=荮
axg,1=莼
axj,1=蕴
axt,1=芗
axx,1=芘
axxf,1=荜
axxr,1=蒈
ay,1=芳
ayc,1=茺
ayh,1=苄
ayi,1=弋
ayj,1=蔼
ayjj,1=荠
ayk,1=蓑
aym,1=蒿
ayms,1=藁
ayn,1=芦
ayna,1=匾
aynb,1=芒
aynk,1=荒
ayp,1=葶
ayq,1=鸢
ayrc,1=蓠
ayt,1=蔟
ayu,1=蒂
ayuy,1=蒡
ayv,1=莨
ayw,1=萃
aywu,1=菸
ayx,1=蓄
ayxy,1=蕹
b,1=了
ba,1=陈
bb,1=子
bbc,1=陬
bbf,1=孕
bbh,1=耶
bby,1=陂
bc,1=取
bca,1=陉
bcc,1=聂
bccm,1=颞
bci,1=聚
bcib,1=鄹
bcl,1=盈
bcla,1=戤
bcv,1=娶
bd,1=承
bda,1=隋
bdan,1=隳
bde,1=随
bdef,1=堕
bdj,1=陌
bdm,1=颇
bdx,1=陇
be,1=阴
begg,1=阻
bf,1=际
bfd,1=孺
bfh,1=陡
bfj,1=阱
bfq,1=阮
bfw,1=陵
bg,1=卫
bgb,1=陆
bgh,1=耳
bgk,1=隔
bgm,1=陋
bgq,1=阢
bgu,1=陕
bh,1=耻
bhgj,1=蚩
bhh,1=陟
bhhg,1=骘
bhk,1=屮
bhkg,1=阽
bhn,1=鼐
bi,1=孙
bib,1=函
big,1=丞
bigb,1=卺
bij,1=隙
bip,1=逊
biu,1=尕
bj,1=阳
bjf,1=陧
bjm,1=隅
bjx,1=隰
bk,1=职
bkc,1=亟
bkh,1=聩
bkm,1=陨
bl,1=阵
ble,1=勐
blf,1=孟
blg,1=隈
bm,1=出
bmf,1=祟
bmfg,1=聃
bmg,1=聘
bmo,1=粜
bn,1=也
bnh,1=阝
bnh,2=凵
bnh,3=卩
bnhg,1=孑
bnn,1=孔
bnt,1=乃
bnty,1=皮
bo,1=耿
bp,1=辽
bpf,1=院
bpq,1=耽
bps,1=聍
bpx,1=陀
bq,1=陶
bqe,1=陷
bqn,1=孢
bqt,1=聊
bqv,1=隐
br,1=孤
brcy,1=阪
brg,1=隍
brq,1=隗
brt,1=陴
bs,1=阿
bsh,1=耵
bt,1=降
btd,1=聒
btf,1=阡
btg,1=隆
btgf,1=陲
bth,1=阼
bty,1=孜
bu,1=联
bue,1=隧
buj,1=障
buk,1=陪
bukn,1=聪
buw,1=隘
bv,1=限
bw,1=队
bwf,1=附
bwff,1=坠
bwg,1=除
bwgg,1=险
bwj,1=阶
bwyc,1=聆
bx,1=陛
by,1=及
byi,1=孓
byn,1=孩
bynw,1=陔
byt,1=防
c,1=以
ca,1=戏
cad,1=颈
cae,1=劲
caj,1=弁
cajh,1=刭
cap,1=迳
cayk,1=巯
cb,1=邓
cc,1=双
ccc,1=又
cccf,1=垒
cccg,1=叠
cccm,1=颡
cccs,1=桑
cd,1=参
cdd,1=叁
cdee,1=毵
cdg,1=牯
cdl,1=畚
cds,1=犄
ce,1=能
cee,1=勇
cej,1=甬
cen,1=牦
cenu,1=恿
cep,1=通
cet,1=劝
cexo,1=熊
cf,1=对
cff,1=圣
cffy,1=特
cfg,1=牡
cfn,1=犊
cfnu,1=怼
cg,1=马
cga,1=驱
cgaq,1=骁
cgb,1=骤
cgbn,1=驰
cgc,1=驭
cgce,1=骖
cgcg,1=驿
cgcj,1=骚
cgck,1=骀
cgct,1=骏
cgdk,1=骑
cgdw,1=骐
cgdy,1=驮
cge,1=驵
cgg,1=骊
cgj,1=骒
cgk,1=驯
cgkg,1=牾
cgkr,1=驶
cgl,1=骡
cglg,1=驷
cgm,1=骋
cgn,1=骣
cgp,1=驼
cgq,1=驹
cgql,1=骝
cgqv,1=驺
cgr,1=驳
cgs,1=骠
cgt,1=骄
cgtk,1=骆
cgtn,1=骢
cgu,1=骥
cgua,1=骈
cgw,1=验
cgwf,1=骅
cgwf,2=驸
cgwy,1=骓
cgy,1=驴
cgya,1=骗
cgye,1=骧
cgyg,1=驻
cgyn,1=骟
cgyw,1=骇
ch,1=犋
ck,1=台
ckb,1=邰
ckn,1=怠
cko,1=炱
ckp,1=迨
cm,1=观
cn,1=予
cnh,1=巴
cnhe,1=豫
cnhg,1=骛
cnhg,2=鹜
cnhg,3=鹬
cnhh,1=瞀
cnhj,1=蟊
cnhj,2=蝥
cnhm,1=预
cnhn,1=矜
cnhq,1=鍪
cnhs,1=柔
cnht,1=矛
cnhv,1=婺
cny,1=厶
cq,1=物
cqb,1=允
cqg,1=鸡
cqw,1=欢
cs,1=牺
ct,1=矣
ctf,1=牿
ctg,1=牲
ctgj,1=牟
cty,1=牧
cv,1=艰
cvg,1=犍
cw,1=难
cwt,1=皴
cwtp,1=逡
cx,1=牝
cy,1=叉
cyj,1=蚤
cym,1=犒
cyn,1=犏
d,1=在
da,1=左
dah,1=砑
dai,1=礴
daj,1=厝
dam,1=砸
damw,1=磺
dan,1=碟
dap,1=礞
dar,1=奁
dary,1=砹
dat,1=硗
dav,1=砌
daw,1=礤
day,1=硭
db,1=破
dbd,1=顾
dbf,1=耷
dbm,1=础
dbv,1=厄
dc,1=友
dcc,1=磉
dcd,1=碜
dcg,1=码
dcw,1=雄
dd,1=大
ddd,1=磊
dddf,1=靥
dddr,1=飙
ddg,1=碱
ddgq,1=砺
ddh,1=厦
ddi,1=厌
ddl,1=厣
ddm,1=硕
ddr,1=魇
ddu,1=套
ddw,1=厮
ddwv,1=餍
de,1=历
deb,1=郁
deeb,1=髦
deeg,1=硼
defk,1=髻
deg,1=胡
degq,1=髡
deh,1=髭
del,1=鬟
dem,1=髯
dep,1=鬃
depw,1=鬓
deq,1=鹕
der,1=夯
det,1=髟
deto,1=鬏
deu,1=鬈
dev,1=鬣
devk,1=髫
dew,1=髹
df,1=夺
dfa,1=奔
dfc,1=磕
dfcy,1=砝
dfe,1=辰
dfef,1=辱
dfej,1=蜃
dfek,1=唇
dff,1=奎
dffg,1=硅
dfh,1=矸
dfi,1=奈
dfn,1=砖
dfnb,1=夸
dfnj,1=刳
dfnn,1=匏
dfny,1=瓠
dft,1=奢
dfy,1=压
dg,1=三
dga,1=研
dgaj,1=硎
dgb,1=砘
dgd,1=戌
dgh,1=古
dgj,1=硬
dgk,1=咸
dgkf,1=厨
dgkn,1=感
dgl,1=礓
dgm,1=碛
dgq,1=厉
dgqe,1=励
dgt,1=厂
dgtg,1=石
dgty,1=犬
dgty,2=戊
dgu,1=砰
dgud,1=硖
dgv,1=威
dgx,1=碡
dh,1=还
dha,1=戛
dhb,1=存
dhd,1=慧
dhdf,1=砉
dhdv,1=彗
dhe,1=甭
dhg,1=歪
dhgb,1=邳
dhgd,1=丕
dhih,1=蹙
dhii,1=戚
dhk,1=丰
dhkf,1=否
dhkg,1=砧
dhq,1=艳
dht,1=夏
dhv,1=契
dhvb,1=孬
dhvn,1=恝
dhvr,1=挈
di,1=砂
dia,1=磲
die,1=硝
diu,1=泵
dj,1=百
djb,1=厚
djfd,1=厘
djg,1=碍
djh,1=砷
djn,1=奄
djng,1=鹌
djq,1=碣
dk,1=右
dkj,1=夼
dl,1=面
dlf,1=奋
dlh,1=砗
dlk,1=厍
dm,1=而
dma,1=碘
dmd,1=碳
dmf,1=碉
dmg,1=硐
dmh,1=布
dmj,1=厕
dmjf,1=耐
dmjg,1=鸸
dmjn,1=恧
dmjv,1=耍
dmq,1=砚
dmu,1=页
dn,1=成
dna,1=碾
dnh,1=嘏
dnj,1=尴
dnl,1=盛
dnq,1=尥
dnr,1=砀
dnv,1=尢
dnw,1=尬
dny,1=尤
do,1=矿
dol,1=盔
doq,1=磷
dou,1=灰
dp,1=达
dpg,1=碇
dpgg,1=碹
dpq,1=碗
dpt,1=牵
dpx,1=砣
dq,1=克
dqa,1=砥
dqd,1=兢
dqe,1=确
dqg,1=鸪
dqgs,1=磔
dqw,1=砍
dqy,1=矽
dr,1=原
drh,1=斫
drin,1=愿
drr,1=爽
drt,1=碑
ds,1=厅
dsg,1=硒
dsh,1=厢
dsj,1=碴
dskf,1=奇
dskj,1=剞
dskw,1=欹
dt,1=故
dtb,1=邦
dtbh,1=帮
dtf,1=寿
dtfo,1=焘
dth,1=砟
dtk,1=硌
dtl,1=硇
dtn,1=砾
dtp,1=砭
dtr,1=硪
du,1=辜
dua,1=磋
dub,1=厥
dubj,1=劂
duc,1=磙
dug,1=砬
dujg,1=鹩
duk,1=碚
duo,1=碰
dux,1=磁
dv,1=肆
dva,1=厩
dvi,1=碌
dw,1=其
dwa,1=砼
dwe,1=期
dwef,1=舂
dwf,1=基
dwg,1=奉
dwgd,1=奏
dwgg,1=硷
dwgu,1=磴
dwi,1=仄
dwiu,1=泰
dwj,1=春
dwjj,1=蠢
dwn,1=矶
dwna,1=戡
dwnb,1=甚
dwne,1=勘
dwnf,1=斟
dwq,1=欺
dwr,1=斯
dwry,1=砜
dwt,1=秦
dww,1=雁
dwwm,1=赝
dwx,1=綦
dwy,1=矾
dwyg,1=碓
dwyo,1=礁
dx,1=龙
dxj,1=砩
dxx,1=砒
dxyb,1=聋
dxyd,1=砻
dxye,1=袭
dxyf,1=垄
dxyw,1=龚
dy,1=太
dyb,1=礅
dyc,1=硫
dyi,1=丈
dyn,1=态
dyna,1=碥
dyu,1=磅
dyuh,1=碲
dyw,1=碎
e,1=有
ea,1=肛
eaf,1=腻
eai,1=胨
eaj,1=舁
eajd,1=膜
eajd,2=貘
eajg,1=腊
eap,1=朦
eaw,1=毁
eb,1=服
ebb,1=郛
ebf,1=孚
ebn,1=乳
ec,1=肥
eca,1=胫
eck,1=胎
ect,1=毪
ed,1=须
edc,1=肱
edf,1=胯
edh,1=胚
edj,1=腌
edjg,1=貊
edl,1=腼
edw,1=腠
edx,1=胧
edy,1=肽
ee,1=朋
eeb,1=脬
eee,1=月
eeeb,1=毳
eeen,1=勰
eef,1=舀
eeq,1=鹏
eet,1=肋
eet,2=肜
eew,1=胁
eewy,1=腴
ef,1=肚
efc,1=肢
efcb,1=脚
efh,1=肝
efhw,1=虢
efj,1=肼
efk,1=膨
efkc,1=臌
efm,1=腩
efn,1=肟
efp,1=脖
efq,1=朊
eft,1=豺
efy,1=肘
eg,1=且
egb,1=肫
egc,1=县
egcn,1=悬
egdc,1=爰
ege,1=助
egeg,1=腈
egey,1=豚
egk,1=膈
egm,1=肺
egw,1=雎
egx,1=胰
egy,1=肤
eh,1=毡
ehc,1=叟
ehd,1=腓
ehh,1=胩
ehn,1=胪
ei,1=膛
eig,1=胱
eil,1=盥
ej,1=胆
ejh,1=刖
ejhh,1=胂
ejl,1=腽
ejt,1=腥
ek,1=加
ekc,1=驾
ekh,1=肿
ekk,1=腭
ekks,1=臊
ekm,1=贺
ekmw,1=脶
ekp,1=迦
eks,1=架
eksk,1=哿
eky,1=袈
el,1=舆
eld,1=胭
ele,1=舅
elh,1=胛
eln,1=腮
elv,1=爵
em,1=觅
ema,1=腆
emg,1=胴
emgo,1=爨
emgy,1=璺
emw,1=肭
en,1=力
eni,1=脲
enr,1=肠
enu,1=鼠
enud,1=鼷
enuk,1=鼯
enum,1=鼬
enuv,1=鼢
enuv,2=鼹
env,1=甩
eo,1=脏
eoo,1=毯
eoq,1=膦
eou,1=臁
eow,1=腑
eoy,1=脒
ep,1=边
epc,1=受
epd,1=爱
epey,1=脓
epf,1=脘
epfi,1=腙
epg,1=腚
epq,1=腕
epqg,1=舜
epr,1=膑
epv,1=胺
epw,1=腔
epwf,1=膣
eq,1=胸
eqa,1=胝
eqd,1=脆
eqg,1=氇
eqk,1=朐
eqn,1=胞
eqo,1=舄
eqw,1=肷
eqy,1=豹
er,1=貌
erc,1=胍
eri,1=腺
erqp,1=邈
ers,1=脎
ert,1=脾
es,1=采
ese,1=彩
esf,1=膊
esfi,1=膘
esv,1=腰
esw,1=膝
esy,1=脯
et,1=用
eta,1=胀
etf,1=遥
etfg,1=鹞
etfi,1=繇
etg,1=胜
etgn,1=毛
eth,1=臼
ethf,1=胙
etj,1=腹
etk,1=胳
etkg,1=貉
etl,1=貔
ett,1=彡
ety,1=豸
eu,1=胶
eua,1=胼
eud,1=朕
eug,1=胖
eugf,1=塍
eugg,1=腾
eugi,1=滕
eugv,1=媵
euj,1=臆
euk,1=脱
euo,1=氆
euu,1=膳
ev,1=妥
evg,1=腱
evgp,1=毽
evk,1=貂
evp,1=腿
ew,1=办
ewc,1=股
ewe,1=胗
ewf,1=脍
ewg,1=脸
ewgj,1=腧
ewi,1=臾
ewn,1=肌
ews,1=貅
eww,1=脞
ex,1=脂
exd,1=奚
ey,1=肪
eyj,1=脐
eyl,1=膻
eyn,1=脉
eynw,1=胲
eyr,1=脑
eyu,1=膀
eyuk,1=膪
eyw,1=肮
eywy,1=腋
eyx,1=臃
f,1=地
fa,1=域
fae,1=霰
faf,1=霸
faj,1=卉
fajv,1=堰
fak,1=哉
fal,1=载
falw,1=戴
fam,1=贲
fan,1=堞
fas,1=栽
faw,1=塔
fawy,1=截
fay,1=裁
fb,1=坡
fbh,1=邯
fbh,2=邗
fbyy,1=圾
fc,1=支
fcb,1=却
fce,1=动
fcet,1=劫
fcl,1=盍
fcn,1=翅
fcp,1=运
fcr,1=魂
fct,1=埃
fcu,1=去
fcu,2=云
fd,1=城
fde,1=雳
fdet,1=坜
fdf,1=震
fdfn,1=垮
fdh,1=坏
fdhg,1=坯
fdj,1=埯
fdm,1=需
fdmm,1=颥
fdmy,1=顸
fdr,1=塬
fdw,1=堪
fdx,1=垅
fe,1=协
fee,1=堋
fef,1=埒
fej,1=霾
feq,1=霓
ff,1=寺
ffc,1=坛
fff,1=圭
ffff,1=土
fffy,1=封
ffg,1=坩
ffh,1=填
ffhg,1=埴
ffhy,1=卦
ffi,1=款
ffn,1=雩
ffnn,1=圬
ffnu,1=恚
fft,1=堵
ffuk,1=墙
fg,1=十
fgc,1=垤
fgf,1=圩
fgg,1=二
fggh,1=干
fggy,1=未
fghg,1=士
fghg,2=甘
fghy,1=雨
fghy,2=寸
fgj,1=垣
fgjr,1=埂
fgk,1=塥
fgo,1=垭
fgu,1=坪
fh,1=直
fha,1=越
fhb,1=趣
fhd,1=霏
fhe,1=趄
fhfh,1=矗
fhfk,1=赶
fhg,1=址
fhgj,1=趔
fhh,1=赴
fhi,1=趟
fhk,1=坫
fhl,1=盐
fhn,1=起
fhnh,1=赳
fhnt,1=垆
fho,1=墟
fhq,1=趋
fhr,1=赵
fht,1=趱
fhu,1=走
fhuw,1=趑
fhv,1=超
fhw,1=真
fhwe,1=趁
fhwm,1=颠
fi,1=示
fie,1=霄
fief,1=霪
fig,1=霈
fiv,1=墚
fj,1=刊
fja,1=戟
fje,1=朝
fjf,1=埋
fjfh,1=韩
fjfy,1=埘
fjg,1=坦
fjgh,1=堤
fjhh,1=坤
fjj,1=亓
fjk,1=井
fjl,1=墁
fjn,1=塌
fjp,1=进
fjq,1=埸
fjt,1=乾
fjw,1=翰
fjwf,1=斡
fk,1=吉
fkd,1=颉
fke,1=袁
fkg,1=埕
fkh,1=圳
fkhk,1=露
fkk,1=酃
fkm,1=埙
fkmw,1=埚
fku,1=喜
fkuc,1=鼓
fkue,1=彭
fkuf,1=鼙
fkuh,1=瞽
fkuk,1=嘉
fkuo,1=熹
fkuy,1=甏
fl,1=雷
fly,1=塄
fm,1=南
fmg,1=垌
fmn,1=垲
fmu,1=献
fmy,1=坝
fmyg,1=坍
fn,1=志
fnb,1=亏
fnbm,1=堀
fnh,1=韦
fnhc,1=霞
fnhe,1=韬
fnhl,1=韫
fnhp,1=违
fnhy,1=韧
fni,1=墀
fnk,1=霹
fnn,1=圮
fnn,2=圯
fnr,1=声
fnrt,1=场
fnud,1=卖
fnuq,1=觌
fnw,1=块
fnwb,1=罄
fnwd,1=磬
fnwj,1=馨
fnwy,1=謦
fnx,1=坭
fny,1=专
fo,1=赤
fob,1=郝
fobc,1=赧
fof,1=赫
fofj,1=赭
fot,1=圹
fotj,1=螫
foty,1=赦
fov,1=塘
fovh,1=墉
fp,1=过
fpb,1=勃
fpbf,1=孛
fpbg,1=鹁
fpf,1=垸
fpg,1=壹
fpgc,1=彀
fpgc,2=觳
fpgn,1=懿
fpl,1=毂
fpo,1=壶
fpw,1=壳
fpwn,1=悫
fpx,1=索
fpxn,1=坨
fq,1=无
fqa,1=坻
fqb,1=元
fqd,1=顽
fqk,1=鼋
fqky,1=堍
fqn,1=雹
fqp,1=远
fqu,1=均
fqw,1=坎
fr,1=垢
frc,1=坂
frh,1=圻
frt,1=埤
fry,1=坼
fs,1=某
fsa,1=耢
fsaf,1=耩
fsb,1=耔
fsc,1=耙
fsd,1=耨
fse,1=耗
fsf,1=博
fsfc,1=耘
fsfg,1=堙
fsfj,1=耕
fsh,1=霜
fsi,1=耒
fsik,1=耥
fsit,1=耖
fsj,1=耦
fsk,1=坷
fsn,1=耜
fso,1=耧
fsod,1=耱
fss,1=霖
fsw,1=耠
fsy,1=埔
fsyy,1=耪
ft,1=才
ftb,1=孝
ftbt,1=教
ftd,1=嫠
fter,1=雾
ftf,1=霆
ftg,1=考
fth,1=埏
ftj,1=者
ftjb,1=都
ftjn,1=翥
ftjo,1=煮
ftm,1=垧
ftn,1=埠
ftng,1=坞
ftnn,1=圪
ftx,1=老
ftxe,1=耄
ftxf,1=耋
ftxj,1=耆
ftxu,1=霉
fu,1=增
fue,1=丧
fuf,1=幸
fug,1=垃
fuj,1=境
fuk,1=培
fulk,1=啬
fuv,1=霎
fv,1=雪
fvi,1=埭
fvp,1=埽
fvy,1=垠
fw,1=零
fwf,1=逵
fwn,1=堠
fws,1=垛
fww,1=赍
fwy,1=堆
fwyf,1=霍
fwyn,1=埝
fx,1=坶
fxe,1=坳
fy,1=坊
fyb,1=墩
fyj,1=霭
fyjj,1=霁
fyk,1=壤
fyn,1=垓
fyp,1=壕
fyr,1=垴
fyu,1=雯
fyuk,1=墒
fyw,1=坑
fyy,1=坟
g,1=一
ga,1=开
gab,1=邢
gae,1=形
gah,1=武
gahb,1=琊
gahg,1=鹉
gai,1=戋
gaj,1=弄
gajf,1=型
gajh,1=刑
gakg,1=瑾
gal,1=盏
gam,1=瑛
gamw,1=璜
gaw,1=珙
gb,1=击
gbg,1=珥
gbn,1=屯
gbnm,1=顿
gby,1=玻
gc,1=到
gcf,1=至
gcfb,1=郅
gcft,1=致
gcft,2=臻
gcg,1=玛
gd,1=天
gde,1=瑚
gdh,1=环
gdj,1=蚕
gdk,1=吞
gdm,1=顼
gdn,1=忝
gds,1=琦
gdw,1=琪
gdx,1=珑
ge,1=表
gef,1=青
geg,1=燹
gegc,1=瑗
gei,1=豕
gek,1=珈
gem,1=靓
gep,1=逐
gepc,1=瑷
geph,1=靛
geq,1=静
get,1=瑶
gf,1=于
gfc,1=珐
gfl,1=盂
gfn,1=玮
gfp,1=迂
gfq,1=玩
gg,1=五
ggc,1=琶
gge,1=琢
ggg,1=王
gggy,1=夫
ggi,1=球
ggj,1=替
gglj,1=辇
ggn,1=瑟
ggw,1=琴
ggx,1=琵
ggy,1=珏
gh,1=下
ghd,1=正
ghg,1=焉
ghgb,1=鄢
ghge,1=璩
ghk,1=玷
ghn,1=丐
ghnu,1=忑
ghq,1=璨
ght,1=政
ghw,1=琥
gi,1=求
gim,1=琐
giye,1=裘
giyp,1=逑
giyt,1=救
gj,1=理
gjg,1=亘
gjh,1=惠
gjhg,1=瑁
gjk,1=丌
gjr,1=更
gjx,1=琨
gk,1=事
gkf,1=吾
gkh,1=囊
gkhj,1=蠹
gkhk,1=璐
gkhs,1=橐
gkk,1=卅
gkkk,1=噩
gkl,1=副
gklp,1=逼
gkm,1=融
gkmh,1=鬲
gkmn,1=翮
gkp,1=带
gkr,1=吏
gku,1=豆
gkua,1=豇
gkub,1=豌
gkuc,1=豉
gkup,1=逗
gl,1=画
glp,1=琏
gm,1=现
gma,1=遭
gmaj,1=曹
gmd,1=瑞
gmf,1=再
gmm,1=珊
gmmv,1=璎
gmq,1=规
gmu,1=责
gmw,1=丙
gmwb,1=邴
gmww,1=两
gmwy,1=璀
gmy,1=丽
gmyb,1=郦
gmyg,1=鹂
gmyp,1=逦
gn,1=与
gna,1=珉
gnd,1=琚
gngw,1=欤
gnh,1=瑕
gnn,1=瓦
go,1=亚
gof,1=垩
goi,1=灭
goj,1=晋
goja,1=戬
gon,1=恶
goo,1=琰
got,1=严
gou,1=璞
gov,1=瑭
gp,1=琛
